stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain
275,143,Vuelta a Andalucia Ruta ciclista del Sol,2022-02-16,2022-02-17,Stage 2,2,Stage,2.Pro,es,https://www.procyclingstats.com/race/ruta-del-sol/2022,https://www.procyclingstats.com/race/ruta-del-sol/2022/stage-2,ME - Men Elite,2.PRO.Stage,47,143,3,"Hills, uphill finish",Archidona,Alcala la Real,13:00,38.004,150600.0,2986.0,,,,,,,,,,,,,,
276,143,Vuelta a Andalucia Ruta ciclista del Sol,2022-02-16,2022-02-18,Stage 3,3,Stage,2.Pro,es,https://www.procyclingstats.com/race/ruta-del-sol/2022,https://www.procyclingstats.com/race/ruta-del-sol/2022/stage-3,ME - Men Elite,2.PRO.Stage,47,111,2,"Hills, flat finish",Lucena,Otura,12:50,39.179,153200.0,2873.0,,,,,,,,,,,,,,
277,143,Vuelta a Andalucia Ruta ciclista del Sol,2022-02-16,2022-02-19,Stage 4,4,Stage,2.Pro,es,https://www.procyclingstats.com/race/ruta-del-sol/2022,https://www.procyclingstats.com/race/ruta-del-sol/2022/stage-4,ME - Men Elite,2.PRO.Stage,47,118,4,"Mountains, flat finish",Cullar Vega,Baza,12:20,42.404,167400.0,2987.0,,,,,,,,,,,,,,
278,143,Vuelta a Andalucia Ruta ciclista del Sol,2022-02-16,2022-02-20,Stage 5,5,Stage,2.Pro,es,https://www.procyclingstats.com/race/ruta-del-sol/2022,https://www.procyclingstats.com/race/ruta-del-sol/2022/stage-5,ME - Men Elite,2.PRO.Stage,47,151,5,"Mountains, uphill finish",Huesa,Chiclana de Segura,11:00,39.375,146400.0,2899.0,,,,,,,,,,,,,,
279,144,Itzulia Basque Country,2022-04-04,2022-04-04,Stage 1 (ITT),1,Individual Time Trial,2.UWT,es,https://www.procyclingstats.com/race/itzulia-basque-country/2022,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-1,ME - Men Elite,2.WT.Stage,18,7,2,"Hills, flat finish",Hondarribia,Hondarribia,14:26,45.98,7510.0,100.0,,,,,,,,,,,,,,
280,144,Itzulia Basque Country,2022-04-04,2022-04-05,Stage 2,2,Stage,2.UWT,es,https://www.procyclingstats.com/race/itzulia-basque-country/2022,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-2,ME - Men Elite,2.WT.Stage,18,77,2,"Hills, flat finish",Leitza,Viana,12:18,40.96,207920.0,2625.0,,,,,,,,,,,,,,
281,144,Itzulia Basque Country,2022-04-04,2022-04-06,Stage 3,3,Stage,2.UWT,es,https://www.procyclingstats.com/race/itzulia-basque-country/2022,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-3,ME - Men Elite,2.WT.Stage,18,186,2,"Hills, flat finish",Llodio,Amurrio,12:57,39.586,181700.0,3278.0,,,,,,,,,,,,,,
282,144,Itzulia Basque Country,2022-04-04,2022-04-07,Stage 4,4,Stage,2.UWT,es,https://www.procyclingstats.com/race/itzulia-basque-country/2022,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-4,ME - Men Elite,2.WT.Stage,18,154,2,"Hills, flat finish",Vitoria-Gasteiz,Zamudio,12:51,43.605,185600.0,2703.0,,,,,,,,,,,,,,
283,144,Itzulia Basque Country,2022-04-04,2022-04-08,Stage 5,5,Stage,2.UWT,es,https://www.procyclingstats.com/race/itzulia-basque-country/2022,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-5,ME - Men Elite,2.WT.Stage,18,184,3,"Hills, uphill finish",Zamudio,Mallabia,13:24,39.765,163760.0,3485.0,,,,,,,,,,,,,,
284,144,Itzulia Basque Country,2022-04-04,2022-04-09,Stage 6,6,Stage,2.UWT,es,https://www.procyclingstats.com/race/itzulia-basque-country/2022,https://www.procyclingstats.com/race/itzulia-basque-country/2022/stage-6,ME - Men Elite,2.WT.Stage,18,275,3,"Hills, uphill finish",Eibar,Arrate,14:05,35.849,135700.0,3636.0,,,,,,,,,,,,,,
285,145,Paris - Nice,2022-03-06,2022-03-06,Stage 1,1,Stage,2.UWT,fr,https://www.procyclingstats.com/race/paris-nice/2022,https://www.procyclingstats.com/race/paris-nice/2022/stage-1,ME - Men Elite,2.WT.Stage,4,56,1,Flat,Mantes-la-Ville,Mantes-la-Ville,13:10,41.936,159800.0,1723.0,,,,,,,,,,,,,,
