stage_id,race_id,race_name,race_date,stage_date,stage_name,stage_number,stage_type,classification,nation,race_link,stage_link,race_category,stage_points_scale,stage_ranking,profile_score,parcours_type,parcours_type_name,pcs_city_start,pcs_city_finish,start_time,avg_speed_winner,distance,elevation_gain,elevation_loss,elevation_average,elevation_maximum,elevation_minimum,temp_avg,temp_max,temp_min,_1000_to_1500_m,_1500_to_2000_m,_2000_to_2500_m,_2500_to_3000_m,_3000_to_3500_m,race_total_distance,race_total_elevation_gain,race_oldest_pcs_link
3267,2023,Volta ao Algarve,2014-02-19,2014-02-22,Stage 4,4,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-ao-algarve/2014,https://www.procyclingstats.com/race/volta-ao-algarve/2014/stage-4,ME - Men Elite,2.1.Stage,44,,3,"Hills, uphill finish",Almodovar,Alto do Malhao,,40.76,164500.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-ao-algarve/1936
3268,2023,Volta ao Algarve,2014-02-19,2014-02-23,Stage 5,5,Stage,2.1,pt,https://www.procyclingstats.com/race/volta-ao-algarve/2014,https://www.procyclingstats.com/race/volta-ao-algarve/2014/stage-5,ME - Men Elite,2.1.Stage,44,,2,"Hills, flat finish",Tavira,Vilamoura,,45.79,155800.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/volta-ao-algarve/1936
3269,2024,Emakumeen Euskal Bira,2014-06-12,2014-06-12,Stage 1,1,Stage,2.1,es,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014/stage-1,WE - Women Elite,F-2.1.Stage,174,,0,,Iurreta,Iurreta,,38.12,88000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/1988
3270,2024,Emakumeen Euskal Bira,2014-06-12,2014-06-13,Stage 2,2,Stage,2.1,es,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014/stage-2,WE - Women Elite,F-2.1.Stage,174,,0,,Onati,Onati,,39.06,113700.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/1988
3271,2024,Emakumeen Euskal Bira,2014-06-12,2014-06-14,Stage 3,3,Stage,2.1,es,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014/stage-3,WE - Women Elite,F-2.1.Stage,174,,0,,Arrieta,Mungia,,35.74,91000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/1988
3272,2024,Emakumeen Euskal Bira,2014-06-12,2014-06-15,Stage 4,4,Stage,2.1,es,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/2014/stage-4,WE - Women Elite,F-2.1.Stage,174,,0,,Ataun,Ataun,,38.0,115400.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/iurreta-emakumeen-bira/1988
3273,2025,Vuelta a El Salvador,2014-03-11,2014-03-11,Prologue,,Prologue,2.1,sv,https://www.procyclingstats.com/race/vuelta-el-salvador/2014,https://www.procyclingstats.com/race/vuelta-el-salvador/2014/prologue,WE - Women Elite,F-2.1.Stage,170,,0,,Santa Elena,Santa Elena,,45.62,4600.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-el-salvador/2004
3274,2025,Vuelta a El Salvador,2014-03-11,2014-03-12,Stage 1,1,Stage,2.1,sv,https://www.procyclingstats.com/race/vuelta-el-salvador/2014,https://www.procyclingstats.com/race/vuelta-el-salvador/2014/stage-1,WE - Women Elite,F-2.1.Stage,170,,0,,La Libertad,Nahuizalco,,32.28,95000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-el-salvador/2004
3275,2025,Vuelta a El Salvador,2014-03-11,2014-03-13,Stage 2,2,Stage,2.1,sv,https://www.procyclingstats.com/race/vuelta-el-salvador/2014,https://www.procyclingstats.com/race/vuelta-el-salvador/2014/stage-2,WE - Women Elite,F-2.1.Stage,170,,0,,Olocuilta,Olocuilta,,36.42,115000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-el-salvador/2004
3276,2025,Vuelta a El Salvador,2014-03-11,2014-03-14,Stage 3,3,Stage,2.1,sv,https://www.procyclingstats.com/race/vuelta-el-salvador/2014,https://www.procyclingstats.com/race/vuelta-el-salvador/2014/stage-3,WE - Women Elite,F-2.1.Stage,170,,0,,Nueva Concepcion,Santa Ana,,42.98,90000.0,,,,,,,,,,,,,,,,https://www.procyclingstats.com/race/vuelta-el-salvador/2004
