team_name,pcs_link
De Peddelaars / De Jong Laan,https://www.procyclingstats.com/team/de-peddelaars-de-jong-laan-2010
JENATEC - Cycling,https://www.procyclingstats.com/team/jenatec-cycling-2010
Austria,https://www.procyclingstats.com/team/austria-2010
Team Cycling Sports,https://www.procyclingstats.com/team/team-cycling-sports-2010
Team EGN Rose NRW U 23,https://www.procyclingstats.com/team/team-egn-rose-nrw-u-23-2010
Rock Werchters - Chocolade Jacques,https://www.procyclingstats.com/team/rock-werchter-chocolade-jacques-2010
Team LV Berlin,https://www.procyclingstats.com/team/team-lv-berlin-2010
Turkey,https://www.procyclingstats.com/team/turkey-2010
Debabarrena - Kirolgi,https://www.procyclingstats.com/team/debabarrena-kirolgi-2010
Peanut Butter & Co - TWENTY12,https://www.procyclingstats.com/team/peanut-butter-twenty12-2010
Roxsolt Liv SRAM,https://www.procyclingstats.com/team/roxsolt-liv-sram-2022
Jumbo-Visma,https://www.procyclingstats.com/team/team-jumbo-visma-2022
Cofidis Women Team,https://www.procyclingstats.com/team/cofidis-women-team-2022
IDEA-Indeportes Antioquia,https://www.procyclingstats.com/team/idea-indeportes-antioquia-2022
 Team Saavedra - Gelvez - Indenorte,https://www.procyclingstats.com/team/team-saavedra-2022
Global Cycling Team,https://www.procyclingstats.com/team/global-cycling-team-2022
JB - Calzado Power - Arroz Zulia,https://www.procyclingstats.com/team/jb-calzado-power-arroz-zulia-2022
Gran Mision Transporte Venezuela,https://www.procyclingstats.com/team/gran-mision-transporte-venezuela-2022
Deportivo Tachira ,https://www.procyclingstats.com/team/deportivo-tachira-2022
Venezuela Pais Futuro,https://www.procyclingstats.com/team/venezuela-pais-futuro-2022
Loteria del Tachira - Concafe Bandes,https://www.procyclingstats.com/team/loteria-del-tachira-concafe-bandes-2022
Fundacion Angeles Hernandez,https://www.procyclingstats.com/team/fundacion-angeles-hernandez-2022
Revivir Team Produgar Caracas,https://www.procyclingstats.com/team/revivir-team-produgar-caracas-2022
Herrera Sport - Ropa Deportiva                                    ,https://www.procyclingstats.com/team/herrera-sport-2022
Club Bici Sport Neiva Huila,https://www.procyclingstats.com/team/club-bici-sport-neiva-huila-2022
Farmacia del Ahorro - Gobernacion del Tachira,https://www.procyclingstats.com/team/farmacia-del-ahorro-gobernacion-del-tachira-2022
Team Gesprom Colombia,https://www.procyclingstats.com/team/team-gesprom-colombia-2022
Team Corratec America,https://www.procyclingstats.com/team/team-corratec-america-2022
CicloCorse,https://www.procyclingstats.com/team/ciclocorse-2022
MU Training - Banesco,https://www.procyclingstats.com/team/mu-training-banesco-2022
JHS - Grupo Moya,https://www.procyclingstats.com/team/jhs-grupo-moya-2022
Pegasus La Guaira,https://www.procyclingstats.com/team/pegasus-la-guaira-2022
Sabe Miel - BKC - Seleccion Aragua,https://www.procyclingstats.com/team/sabe-miel-bkc-seleccion-aragua-2022
Inversiones Alexander - Mundo Frio - Ferlab,https://www.procyclingstats.com/team/inversiones-alexander-mundo-frio-ferlab-2022
Club Leonardo Sierra Merida,https://www.procyclingstats.com/team/club-leonardo-sierra-merida-2022
Team Carabobo,https://www.procyclingstats.com/team/team-carabobo-2022
Barinas Indeporte,https://www.procyclingstats.com/team/barinas-indeporte-2022
Team Arkea Samsic,https://www.procyclingstats.com/team/team-arkea-samsic-2022
Bardiani-CSF-Faizane,https://www.procyclingstats.com/team/bardiani-csf-faizane-2022
Java Kiwi Atlantico,https://www.procyclingstats.com/team/java-kiwi-atlantico-2022
Electro Hiper Europa - Caldas,https://www.procyclingstats.com/team/electro-hiper-europa-2022
Manuela Fundacion Continental,https://www.procyclingstats.com/team/manuela-fundacion-continental-2022
Intermarche - Wanty - Gobert Materiaux,https://www.procyclingstats.com/team/intermarche-wanty-gobert-materiaux-2022
AG2R Citroen Team,https://www.procyclingstats.com/team/ag2r-citroen-team-2022
Shabab Al Ahli Cycling Team,https://www.procyclingstats.com/team/shabab-al-ahli-cycling-team-2022
Al Shafar Jumeirah Cycling Team,https://www.procyclingstats.com/team/al-shafar-jumeirah-cycling-team-2022
United Arab Emirates,https://www.procyclingstats.com/team/united-arab-emirates-2022
Dubai Police Cycling Team,https://www.procyclingstats.com/team/dubai-police-cycling-team-2022
Yasi Cycling Team,https://www.procyclingstats.com/team/yasi-cycling-team-2022
Roojai Cycling Team,https://www.procyclingstats.com/team/roojai-cycling-team-2022
Abu Dhabi Cycling Club,https://www.procyclingstats.com/team/abu-dhabi-cycling-club-2022
Algeria,https://www.procyclingstats.com/team/algeria-2022
Trek M7 Cycling Team,https://www.procyclingstats.com/team/trek-m7-cycling-team-2022
Morocco,https://www.procyclingstats.com/team/morocco-2022
Saudi Arabia,https://www.procyclingstats.com/team/saudi-arabia-2022
Al Nasr Club,https://www.procyclingstats.com/team/al-nasr-club-2022
Oman,https://www.procyclingstats.com/team/oman-2022
Torq Cycling Team,https://www.procyclingstats.com/team/torq-cycling-team-2022
Egypt,https://www.procyclingstats.com/team/egypt-2022
Bingoal Pauwels Sauces WB,https://www.procyclingstats.com/team/bingoal-pauwels-sauzen-wb-2022
Nice Metropole Cote d'Azur,https://www.procyclingstats.com/team/nice-metropole-cote-d-azur-2022
Go Sport - Roubaix Lille Metropole,https://www.procyclingstats.com/team/roubaix-lille-metropole-2022
Turkey,https://www.procyclingstats.com/team/turkey-2022
Viva Rovar,https://www.procyclingstats.com/team/viva-rovar-2022
Uzbekistan,https://www.procyclingstats.com/team/uzbekistan-2022
Velobayki Cycling Team,https://www.procyclingstats.com/team/velobayki-cycling-team-2022
Inex Siberian Team,https://www.procyclingstats.com/team/inex-siberian-team-2022
Russia,https://www.procyclingstats.com/team/russia-2022
Nursultan Cycling Team,https://www.procyclingstats.com/team/nursultan-cycling-team-2022
Konya Buyuksehir,https://www.procyclingstats.com/team/konya-buyuksehir-2022
Kazakhstan,https://www.procyclingstats.com/team/kazakhstan-2022
