team_id,season,team_gen_id,team_name,team_class,team_oldest_pcs_link,pcs_link,team_pcs_id
303,1999,33957,Mapei - Quickstep,TT1,https://www.procyclingstats.com/team/mapei-viner-1993,https://www.procyclingstats.com/team/mapei-quickstep-1999/overview/,1272.0
304,1998,33957,Mapei - Bricobi,,https://www.procyclingstats.com/team/mapei-viner-1993,https://www.procyclingstats.com/team/mapei-bricobi-1998/overview/,1272.0
307,1995,33957,Mapei-GB,,https://www.procyclingstats.com/team/mapei-viner-1993,https://www.procyclingstats.com/team/mapei-gb-1995/overview/,1272.0
308,1994,33957,Mapei - Clas,,https://www.procyclingstats.com/team/mapei-viner-1993,https://www.procyclingstats.com/team/mapei-clas-1994/overview/,1272.0
309,1993,33957,Eldor - Viner,,https://www.procyclingstats.com/team/mapei-viner-1993,https://www.procyclingstats.com/team/eldor-viner-1993/overview/,1272.0
310,1993,33957,Mapei - Viner,,https://www.procyclingstats.com/team/mapei-viner-1993,https://www.procyclingstats.com/team/mapei-viner-1993/overview/,1272.0
315,1989,93046,CLAS - Cajastur,,https://www.procyclingstats.com/team/clas-1988,https://www.procyclingstats.com/team/clas-cajastur-1989/overview/,4655.0
316,1988,93046,CLAS,,https://www.procyclingstats.com/team/clas-1988,https://www.procyclingstats.com/team/clas-1988/overview/,4655.0
317,2001,73285,Festina,TT1,https://www.procyclingstats.com/team/lotus-festina-1990,https://www.procyclingstats.com/team/festina-2001/overview/,1183.0
325,1993,73285,Festina - Lotus,TT1,https://www.procyclingstats.com/team/lotus-festina-1990,https://www.procyclingstats.com/team/festina-lotus-1993/overview/,1183.0
328,1990,73285,Lotus - Festina,TT1,https://www.procyclingstats.com/team/lotus-festina-1990,https://www.procyclingstats.com/team/lotus-festina-1990/overview/,1183.0
329,1992,12481,CHCS - Ciemar - Paternina,,https://www.procyclingstats.com/team/paternina-sport-1991,https://www.procyclingstats.com/team/chcs-ciemar-paternina-1992/overview/,
330,1991,12481,Paternina Sport,,https://www.procyclingstats.com/team/paternina-sport-1991,https://www.procyclingstats.com/team/paternina-sport-1991/overview/,
331,1994,89543,Jumbo - UC Maia - Serrata-Beirão,,https://www.procyclingstats.com/team/jumbo-uc-maia-serrata-beirao-1994,https://www.procyclingstats.com/team/jumbo-uc-maia-serrata-beirao-1994/overview/,
332,1996,31692,Panaria - Vinavil,,https://www.procyclingstats.com/team/colnago-lampre-1991,https://www.procyclingstats.com/team/panaria-vinavil-1996/overview/,1252.0
334,1994,31692,Lampre-Panaria,,https://www.procyclingstats.com/team/colnago-lampre-1991,https://www.procyclingstats.com/team/lampre-panaria-1994/overview/,1252.0
335,1993,31692,Lampre-Polti,,https://www.procyclingstats.com/team/colnago-lampre-1991,https://www.procyclingstats.com/team/lampre-polti-1993/overview/,1252.0
336,1992,31692,Lampre-Colnago,,https://www.procyclingstats.com/team/colnago-lampre-1991,https://www.procyclingstats.com/team/lampre-colnago-1992/overview/,1252.0
337,1991,31692,Colnago-Lampre,,https://www.procyclingstats.com/team/colnago-lampre-1991,https://www.procyclingstats.com/team/colnago-lampre-1991/overview/,1252.0
338,1996,85965,Carrera Jeans,,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/carrera-jeans-1996/overview/,1115.0
343,1991,85965,Carrera Jeans - Tassoni,,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/carrera-jeans-tassoni-1991/overview/,1115.0
347,1987,85965,Carrera Jeans - Vagabond,TT1,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/carrera-jeans-vagabond-1987/overview/,1115.0
348,1986,85965,Carrera Jeans - Vagabond,,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/carrera-vagabond-1986/overview/,1115.0
349,1985,85965,Carrera - Inoxpran,,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/carrera-inoxpran-1985/overview/,1115.0
351,1982,85965,Inoxpran - Pentole Posate,,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/inoxpran-1982/overview/,1115.0
353,1980,85965,Inoxpran,,https://www.procyclingstats.com/team/inoxpran-1980,https://www.procyclingstats.com/team/inoxpran-1980/overview/,1115.0
354,1988,61298,KAS - Canal 10 - Mavic,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-canal-10-1988/overview/,1831.0
355,1987,61298,Kas - Miko,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-1987/overview/,1831.0
360,1976,61298,Kas - Campagnolo,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-1976/overview/,1831.0
362,1974,61298,KAS,,https://www.procyclingstats.com/team/kas-boxing-club-1958,https://www.procyclingstats.com/team/kas-1974/overview/,1831.0
